iteration	best_fit	T	L	Sigma	K	elapsed_time
1	0.91567537	8.000	8.000	1.000	 12	0.5615
2	0.91782361	8.000	8.000	1.100	 12	1.1206
3	0.91791474	8.000	8.000	1.200	 12	1.6816
4	0.91799777	8.000	8.000	1.300	 12	2.2471
5	0.91860288	8.000	8.000	1.400	 12	2.8107
6	0.91933952	8.000	8.000	1.500	 12	3.3702
7	0.92027466	8.000	8.000	1.600	 12	3.9322
8	0.92117070	8.000	8.000	1.700	 12	4.4927
9	0.92185535	8.000	8.000	1.800	 12	5.0524
10	0.92259509	8.000	8.000	1.900	 12	5.6128
11	0.92322313	8.000	8.000	2.000	 12	6.1729
12	0.92370984	8.000	8.000	2.100	 12	6.7330
13	0.92423718	8.000	8.000	2.200	 12	7.2987
14	0.92466011	8.000	8.000	2.300	 12	7.8598
15	0.92497546	8.000	8.000	2.400	 12	8.4260
16	0.92525776	8.000	8.000	2.500	 12	8.9920
17	0.92549003	8.000	8.000	2.600	 12	9.5581
18	0.92570094	8.000	8.000	2.700	 12	10.1236
19	0.92585152	8.000	8.000	2.800	 12	10.6901
20	0.92599439	8.000	8.000	2.900	 12	11.2556
21	0.92611083	8.000	8.000	3.000	 12	11.8171
22	0.92618927	8.000	8.000	3.100	 12	12.3837
23	0.92628924	8.000	8.000	3.200	 12	12.9499
24	0.92628924	8.000	8.000	3.200	 12	12.9499
25	0.92631659	8.000	8.000	3.400	 12	14.0833
26	0.92635482	8.000	8.000	3.500	 12	14.6496
27	0.92640023	8.000	8.000	3.600	 12	15.2284
28	0.92640023	8.000	8.000	3.600	 12	15.2284
29	0.92640023	8.000	8.000	3.600	 12	15.2284
30	0.92640023	8.000	8.000	3.600	 12	15.2284
31	0.92640023	8.000	8.000	3.600	 12	15.2284
32	0.92641351	8.000	8.000	4.100	 12	18.0701
33	0.92641351	8.000	8.000	4.100	 12	18.0701
34	0.92641351	8.000	8.000	4.100	 12	18.0701
35	0.92641351	8.000	8.000	4.100	 12	18.0701
36	0.92641351	8.000	8.000	4.100	 12	18.0701
37	0.92641351	8.000	8.000	4.100	 12	18.0701
38	0.92641351	8.000	8.000	4.100	 12	18.0701
39	0.92641351	8.000	8.000	4.100	 12	18.0701
40	0.92641351	8.000	8.000	4.100	 12	18.0701
41	0.92641351	8.000	8.000	4.100	 12	18.0701
42	0.92641351	8.000	8.000	4.100	 12	18.0701
43	0.92641351	8.000	8.000	4.100	 12	18.0701
44	0.92641351	8.000	8.000	4.100	 12	18.0701
45	0.92641351	8.000	8.000	4.100	 12	18.0701
46	0.92641351	8.000	8.000	4.100	 12	18.0701
47	0.92641351	8.000	8.000	4.100	 12	18.0701
48	0.92641351	8.000	8.000	4.100	 12	18.0701
49	0.92641351	8.000	8.000	4.100	 12	18.0701
50	0.92641351	8.000	8.000	4.100	 12	18.0701
51	0.92641351	8.000	8.000	4.100	 12	18.0701
51	0.92641351	8.000	8.000	4.100	 12	28.8410
