iteration	best_fit	T	L	Sigma	K	elapsed_time
2	0.00000000	11.000	9.000	1.039	  0	11.7948
3	0.00000000	10.000	8.000	1.020	  0	22.9448
4	0.00000000	10.000	10.000	1.039	  0	35.2417
5	0.00000000	9.000	8.000	1.059	  0	47.2503
6	0.00000000	10.000	9.000	1.049	  0	59.0839
7	0.00000000	11.000	9.000	1.049	  0	70.9145
8	0.00000000	9.000	10.000	1.039	  0	82.3538
9	0.00000000	9.000	10.000	1.029	  0	93.4554
10	0.00000000	10.000	10.000	1.049	  0	105.5170
11	0.00000000	9.000	9.000	1.059	  0	116.8396
12	0.00000000	10.000	9.000	1.039	  0	127.8519
13	0.00000000	9.000	10.000	1.039	  0	139.4316
14	0.00000000	10.000	10.000	1.020	  0	152.1006
15	0.00000000	10.000	10.000	1.039	  0	163.7557
16	0.00000000	10.000	10.000	1.049	  0	176.8473
17	0.00000000	10.000	9.000	1.049	  0	189.8722
18	0.00000000	9.000	9.000	1.039	  0	201.3064
19	0.00000000	10.000	9.000	1.020	  0	213.9034
20	0.00000000	8.000	9.000	1.039	  0	227.1908
21	0.00000000	10.000	10.000	1.039	  0	239.8728
22	0.00000000	10.000	9.000	1.029	  0	252.0045
23	0.00000000	10.000	9.000	1.049	  0	264.6498
24	0.00000000	9.000	8.000	1.029	  0	277.8507
25	0.00000000	9.000	8.000	1.020	  0	290.4605
26	0.00000000	10.000	11.000	1.020	  0	302.9758
27	0.00000000	9.000	10.000	1.039	  0	315.8126
28	0.00000000	9.000	10.000	1.010	  0	328.4756
29	0.00000000	10.000	10.000	1.029	  0	341.0583
30	0.00000000	10.000	9.000	1.029	  0	353.8142
31	0.00000000	10.000	10.000	1.029	  0	366.4728
32	0.00000000	9.000	9.000	1.039	  0	378.4535
33	0.00000000	10.000	10.000	1.029	  0	389.8102
34	0.00000000	10.000	8.000	1.039	  0	401.4950
35	0.00000000	11.000	9.000	1.039	  0	413.9864
36	0.00000000	10.000	10.000	1.039	  0	426.2213
37	0.00000000	10.000	10.000	1.049	  0	438.7876
38	0.00000000	9.000	9.000	1.020	  0	451.0193
39	0.00000000	9.000	8.000	1.049	  0	463.2096
40	0.00000000	9.000	9.000	1.049	  0	474.9289
41	0.00000000	9.000	9.000	1.039	  0	487.3730
42	0.00000000	9.000	9.000	1.029	  0	499.4741
43	0.00000000	9.000	9.000	1.039	  0	511.2784
44	0.00000000	8.000	8.000	1.049	  0	522.9947
45	0.00000000	10.000	9.000	1.029	  0	536.4159
46	0.00000000	9.000	8.000	1.059	  0	548.8229
47	0.00000000	10.000	8.000	1.039	  0	561.4045
48	0.00000000	10.000	10.000	1.029	  0	574.1526
49	0.00000000	9.000	9.000	1.068	  0	586.8022
50	0.00000000	10.000	8.000	1.049	  0	599.7534
50	0.00000000	10.000	8.000	1.049	  0	599.7535
