iteration	best_fit	T	L	Sigma	K	elapsed_time
1	0.91972891	9.510	2.734	0.000	 45	0.000000
2	0.91972891	9.510	2.734	0.000	 45	244.000000
3	0.91972891	9.510	2.734	0.000	 45	496.000000
4	0.91972891	9.510	2.734	0.000	 45	736.000000
5	0.91972891	9.510	2.734	0.000	 45	994.000000
6	0.92004303	11.132	2.994	0.000	 45	1234.000000
7	0.92048675	14.992	1.910	0.000	 45	1482.000000
8	0.92048675	14.992	1.910	0.000	 45	1710.000000
9	0.92188561	11.659	2.310	0.000	 45	1978.000000
10	0.92188561	11.659	2.310	0.000	 45	2277.000000
11	0.92188561	11.659	2.310	0.000	 45	2525.000000
12	0.92188561	11.659	2.310	0.000	 45	2775.000000
13	0.92188561	11.659	2.310	0.000	 45	3033.000000
14	0.92207600	12.623	2.191	0.000	 45	3281.000000
15	0.92209241	12.212	2.285	0.000	 45	3477.000000
16	0.92210320	12.106	2.267	0.000	 45	3736.000000
17	0.92210320	12.106	2.267	0.000	 45	4006.000000
18	0.92210320	12.106	2.267	0.000	 45	4235.000000
19	0.92210804	12.039	2.247	0.000	 45	4506.000000
20	0.92210804	12.039	2.247	0.000	 45	4797.000000
21	0.92210804	12.039	2.247	0.000	 45	5076.000000
22	0.92210804	12.039	2.247	0.000	 45	5346.000000
23	0.92210804	12.039	2.247	0.000	 45	5585.000000
24	0.92210804	12.039	2.247	0.000	 45	5803.000000
25	0.92210804	12.039	2.247	0.000	 45	6074.000000
26	0.92210804	12.039	2.247	0.000	 45	6333.000000
27	0.92210804	12.039	2.247	0.000	 45	6603.000000
28	0.92210805	12.217	2.246	0.000	 45	6875.000000
29	0.92210807	12.384	2.244	0.000	 45	7107.000000
30	0.92210807	12.384	2.244	0.000	 45	7339.000000
31	0.92210807	12.321	2.246	0.000	 45	7539.000000
32	0.92210807	12.321	2.246	0.000	 45	7820.000000
33	0.92210807	12.660	2.245	0.000	 45	8084.000000
34	0.92210807	12.660	2.245	0.000	 45	8355.000000
35	0.92210807	12.660	2.245	0.000	 45	8591.000000
36	0.92210807	12.660	2.245	0.000	 45	8827.000000
37	0.92210807	12.660	2.245	0.000	 45	9064.000000
38	0.92210807	12.660	2.245	0.000	 45	9310.000000
39	0.92210807	12.660	2.245	0.000	 45	9579.000000
40	0.92210807	12.660	2.245	0.000	 45	9823.000000
41	0.92210807	12.607	2.246	0.000	 45	10034.000000
42	0.92210807	12.607	2.246	0.000	 45	10298.000000
43	0.92210808	12.389	2.246	0.000	 45	10572.000000
44	0.92210808	12.389	2.246	0.000	 45	10835.000000
45	0.92210808	12.389	2.246	0.000	 45	11077.000000
46	0.92210808	12.544	2.246	0.000	 45	11331.000000
47	0.92210808	12.544	2.246	0.000	 45	11565.000000
48	0.92210808	12.544	2.246	0.000	 45	11839.000000
49	0.92210808	12.450	2.246	0.000	 45	12103.000000
50	0.92210808	12.450	2.246	0.000	 45	12399.000000
Best parameters found in 12711.000000 s.
